evidence_id,evidence_type,quantity,value,units,meaning,engineering_use
CSV::phase2_bushing_load_transfer.csv::row10,GUIDE_REACTION_ROW,row,hL_mm=200.0 ; spacing_mm=150.0 ; hU_mm=350.0 ; bushing_length_mm=30.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=38.06376 ; limit_lower_p_MPa=21.875724137931037 ; limit_upper_case=LC4+ ; limit_upper_R_kN=29.72376 ; limit_upper_p_MPa=17.082620689655172 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=57.09564 ; ultimate_lower_p_MPa=32.81358620689655 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=44.585640000000005 ; ultimate_upper_p_MPa=25.62393103448276 ; max_ultimate_reaction_kN=57.09564 ; max_ultimate_pressure_MPa=32.81358620689655,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row11,GUIDE_REACTION_ROW,row,hL_mm=200.0 ; spacing_mm=150.0 ; hU_mm=350.0 ; bushing_length_mm=40.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=38.06376 ; limit_lower_p_MPa=16.406793103448276 ; limit_upper_case=LC4+ ; limit_upper_R_kN=29.72376 ; limit_upper_p_MPa=12.81196551724138 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=57.09564 ; ultimate_lower_p_MPa=24.610189655172416 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=44.585640000000005 ; ultimate_upper_p_MPa=19.21794827586207 ; max_ultimate_reaction_kN=57.09564 ; max_ultimate_pressure_MPa=24.610189655172416,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row12,GUIDE_REACTION_ROW,row,hL_mm=250.0 ; spacing_mm=75.0 ; hU_mm=325.0 ; bushing_length_mm=20.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=73.34752 ; limit_lower_p_MPa=63.230620689655176 ; limit_upper_case=LC4+ ; limit_upper_R_kN=65.00752 ; limit_upper_p_MPa=56.040965517241375 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=110.02128 ; ultimate_lower_p_MPa=94.84593103448276 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=97.51128 ; ultimate_upper_p_MPa=84.06144827586206 ; max_ultimate_reaction_kN=110.02128 ; max_ultimate_pressure_MPa=94.84593103448276,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row13,GUIDE_REACTION_ROW,row,hL_mm=250.0 ; spacing_mm=75.0 ; hU_mm=325.0 ; bushing_length_mm=30.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=73.34752 ; limit_lower_p_MPa=42.153747126436784 ; limit_upper_case=LC4+ ; limit_upper_R_kN=65.00752 ; limit_upper_p_MPa=37.36064367816092 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=110.02128 ; ultimate_lower_p_MPa=63.23062068965517 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=97.51128 ; ultimate_upper_p_MPa=56.04096551724138 ; max_ultimate_reaction_kN=110.02128 ; max_ultimate_pressure_MPa=63.23062068965517,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row14,GUIDE_REACTION_ROW,row,hL_mm=250.0 ; spacing_mm=75.0 ; hU_mm=325.0 ; bushing_length_mm=40.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=73.34752 ; limit_lower_p_MPa=31.615310344827588 ; limit_upper_case=LC4+ ; limit_upper_R_kN=65.00752 ; limit_upper_p_MPa=28.020482758620687 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=110.02128 ; ultimate_lower_p_MPa=47.42296551724138 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=97.51128 ; ultimate_upper_p_MPa=42.03072413793103 ; max_ultimate_reaction_kN=110.02128 ; max_ultimate_pressure_MPa=47.42296551724138,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row15,GUIDE_REACTION_ROW,row,hL_mm=250.0 ; spacing_mm=100.0 ; hU_mm=350.0 ; bushing_length_mm=20.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=57.09563999999999 ; limit_lower_p_MPa=49.220379310344825 ; limit_upper_case=LC4+ ; limit_upper_R_kN=48.75563999999999 ; limit_upper_p_MPa=42.030724137931024 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=85.64346 ; ultimate_lower_p_MPa=73.83056896551726 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=73.13346 ; ultimate_upper_p_MPa=63.04608620689656 ; max_ultimate_reaction_kN=85.64346 ; max_ultimate_pressure_MPa=73.83056896551726,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row16,GUIDE_REACTION_ROW,row,hL_mm=250.0 ; spacing_mm=100.0 ; hU_mm=350.0 ; bushing_length_mm=30.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=57.09563999999999 ; limit_lower_p_MPa=32.813586206896545 ; limit_upper_case=LC4+ ; limit_upper_R_kN=48.75563999999999 ; limit_upper_p_MPa=28.020482758620687 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=85.64346 ; ultimate_lower_p_MPa=49.22037931034483 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=73.13346 ; ultimate_upper_p_MPa=42.03072413793104 ; max_ultimate_reaction_kN=85.64346 ; max_ultimate_pressure_MPa=49.22037931034483,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row17,GUIDE_REACTION_ROW,row,hL_mm=250.0 ; spacing_mm=100.0 ; hU_mm=350.0 ; bushing_length_mm=40.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=57.09563999999999 ; limit_lower_p_MPa=24.61018965517241 ; limit_upper_case=LC4+ ; limit_upper_R_kN=48.75563999999999 ; limit_upper_p_MPa=21.015362068965512 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=85.64346 ; ultimate_lower_p_MPa=36.91528448275863 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=73.13346 ; ultimate_upper_p_MPa=31.52304310344828 ; max_ultimate_reaction_kN=85.64346 ; max_ultimate_pressure_MPa=36.91528448275863,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row18,GUIDE_REACTION_ROW,row,hL_mm=250.0 ; spacing_mm=125.0 ; hU_mm=375.0 ; bushing_length_mm=20.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=47.344512 ; limit_lower_p_MPa=40.81423448275862 ; limit_upper_case=LC4+ ; limit_upper_R_kN=39.004512 ; limit_upper_p_MPa=33.62457931034482 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=71.016768 ; ultimate_lower_p_MPa=61.221351724137925 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=58.506768 ; ultimate_upper_p_MPa=50.43686896551724 ; max_ultimate_reaction_kN=71.016768 ; max_ultimate_pressure_MPa=61.221351724137925,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row19,GUIDE_REACTION_ROW,row,hL_mm=250.0 ; spacing_mm=125.0 ; hU_mm=375.0 ; bushing_length_mm=30.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=47.344512 ; limit_lower_p_MPa=27.20948965517241 ; limit_upper_case=LC4+ ; limit_upper_R_kN=39.004512 ; limit_upper_p_MPa=22.416386206896547 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=71.016768 ; ultimate_lower_p_MPa=40.81423448275862 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=58.506768 ; ultimate_upper_p_MPa=33.62457931034483 ; max_ultimate_reaction_kN=71.016768 ; max_ultimate_pressure_MPa=40.81423448275862,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row20,GUIDE_REACTION_ROW,row,hL_mm=250.0 ; spacing_mm=125.0 ; hU_mm=375.0 ; bushing_length_mm=40.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=47.344512 ; limit_lower_p_MPa=20.40711724137931 ; limit_upper_case=LC4+ ; limit_upper_R_kN=39.004512 ; limit_upper_p_MPa=16.81228965517241 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=71.016768 ; ultimate_lower_p_MPa=30.610675862068963 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=58.506768 ; ultimate_upper_p_MPa=25.21843448275862 ; max_ultimate_reaction_kN=71.016768 ; max_ultimate_pressure_MPa=30.610675862068963,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row21,GUIDE_REACTION_ROW,row,hL_mm=250.0 ; spacing_mm=150.0 ; hU_mm=400.0 ; bushing_length_mm=20.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=40.84376 ; limit_lower_p_MPa=35.21013793103448 ; limit_upper_case=LC4+ ; limit_upper_R_kN=32.50376 ; limit_upper_p_MPa=28.020482758620687 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=61.26564 ; ultimate_lower_p_MPa=52.81520689655172 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=48.75564 ; ultimate_upper_p_MPa=42.03072413793103 ; max_ultimate_reaction_kN=61.26564 ; max_ultimate_pressure_MPa=52.81520689655172,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row22,GUIDE_REACTION_ROW,row,hL_mm=250.0 ; spacing_mm=150.0 ; hU_mm=400.0 ; bushing_length_mm=30.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=40.84376 ; limit_lower_p_MPa=23.473425287356324 ; limit_upper_case=LC4+ ; limit_upper_R_kN=32.50376 ; limit_upper_p_MPa=18.68032183908046 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=61.26564 ; ultimate_lower_p_MPa=35.21013793103448 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=48.75564 ; ultimate_upper_p_MPa=28.02048275862069 ; max_ultimate_reaction_kN=61.26564 ; max_ultimate_pressure_MPa=35.21013793103448,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row23,GUIDE_REACTION_ROW,row,hL_mm=250.0 ; spacing_mm=150.0 ; hU_mm=400.0 ; bushing_length_mm=40.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=40.84376 ; limit_lower_p_MPa=17.60506896551724 ; limit_upper_case=LC4+ ; limit_upper_R_kN=32.50376 ; limit_upper_p_MPa=14.010241379310344 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=61.26564 ; ultimate_lower_p_MPa=26.40760344827586 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=48.75564 ; ultimate_upper_p_MPa=21.01536206896552 ; max_ultimate_reaction_kN=61.26564 ; max_ultimate_pressure_MPa=26.40760344827586,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row24,GUIDE_REACTION_ROW,row,hL_mm=300.0 ; spacing_mm=75.0 ; hU_mm=375.0 ; bushing_length_mm=20.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=78.90752 ; limit_lower_p_MPa=68.02372413793104 ; limit_upper_case=LC4+ ; limit_upper_R_kN=70.56752 ; limit_upper_p_MPa=60.83406896551725 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=118.36128 ; ultimate_lower_p_MPa=102.03558620689655 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=105.85128 ; ultimate_upper_p_MPa=91.25110344827588 ; max_ultimate_reaction_kN=118.36128 ; max_ultimate_pressure_MPa=102.03558620689655,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row25,GUIDE_REACTION_ROW,row,hL_mm=300.0 ; spacing_mm=75.0 ; hU_mm=375.0 ; bushing_length_mm=30.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=78.90752 ; limit_lower_p_MPa=45.34914942528736 ; limit_upper_case=LC4+ ; limit_upper_R_kN=70.56752 ; limit_upper_p_MPa=40.55604597701149 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=118.36128 ; ultimate_lower_p_MPa=68.02372413793105 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=105.85128 ; ultimate_upper_p_MPa=60.83406896551724 ; max_ultimate_reaction_kN=118.36128 ; max_ultimate_pressure_MPa=68.02372413793105,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row26,GUIDE_REACTION_ROW,row,hL_mm=300.0 ; spacing_mm=75.0 ; hU_mm=375.0 ; bushing_length_mm=40.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=78.90752 ; limit_lower_p_MPa=34.01186206896552 ; limit_upper_case=LC4+ ; limit_upper_R_kN=70.56752 ; limit_upper_p_MPa=30.417034482758623 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=118.36128 ; ultimate_lower_p_MPa=51.01779310344828 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=105.85128 ; ultimate_upper_p_MPa=45.625551724137935 ; max_ultimate_reaction_kN=118.36128 ; max_ultimate_pressure_MPa=51.01779310344828,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row27,GUIDE_REACTION_ROW,row,hL_mm=300.0 ; spacing_mm=100.0 ; hU_mm=400.0 ; bushing_length_mm=20.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=61.26563999999999 ; limit_lower_p_MPa=52.81520689655172 ; limit_upper_case=LC4+ ; limit_upper_R_kN=52.92564 ; limit_upper_p_MPa=45.62555172413793 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=91.89846 ; ultimate_lower_p_MPa=79.2228103448276 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=79.38846 ; ultimate_upper_p_MPa=68.43832758620688 ; max_ultimate_reaction_kN=91.89846 ; max_ultimate_pressure_MPa=79.2228103448276,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row28,GUIDE_REACTION_ROW,row,hL_mm=300.0 ; spacing_mm=100.0 ; hU_mm=400.0 ; bushing_length_mm=30.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=61.26563999999999 ; limit_lower_p_MPa=35.210137931034474 ; limit_upper_case=LC4+ ; limit_upper_R_kN=52.92564 ; limit_upper_p_MPa=30.417034482758616 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=91.89846 ; ultimate_lower_p_MPa=52.81520689655173 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=79.38846 ; ultimate_upper_p_MPa=45.62555172413793 ; max_ultimate_reaction_kN=91.89846 ; max_ultimate_pressure_MPa=52.81520689655173,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_load_transfer.csv::row29,GUIDE_REACTION_ROW,row,hL_mm=300.0 ; spacing_mm=100.0 ; hU_mm=400.0 ; bushing_length_mm=40.0 ; limit_lower_case=LC4+ ; limit_lower_R_kN=61.26563999999999 ; limit_lower_p_MPa=26.407603448275857 ; limit_upper_case=LC4+ ; limit_upper_R_kN=52.92564 ; limit_upper_p_MPa=22.812775862068964 ; ultimate_lower_case=LC4+ ; ultimate_lower_R_kN=91.89846 ; ultimate_lower_p_MPa=39.6114051724138 ; ultimate_upper_case=LC4+ ; ultimate_upper_R_kN=79.38846 ; ultimate_upper_p_MPa=34.21916379310344 ; max_ultimate_reaction_kN=91.89846 ; max_ultimate_pressure_MPa=39.6114051724138,,Raw source row.,Do not equate to external trunnion reaction without an assembly FBD.
CSV::phase2_bushing_material_gland_requirements.csv,GUIDE_REACTION_SOURCE,table_schema,hL_mm | spacing_mm | hU_mm | bushing_length_mm | piston_OD_mm | bushing_OD_mm | bushing_radial_wall_mm | limit_lower_R_kN | ultimate_lower_R_kN | limit_piston_side_pressure_MPa | ultimate_piston_side_pressure_MPa | AMS4640_static_capacity_MPa | AMS4640_limit_MS | AMS4640_ultimate_MS | PTFE_static_limit_MPa | PTFE_dynamic_limit_MPa | PTFE_dynamic_ultimate_MS | AMS4640_required_length_ultimate_mm | PTFE_dynamic_required_length_ultimate_mm | housing_limit_pressure_MPa | housing_ultimate_pressure_MPa | radial_line_load_limit_N_per_mm | radial_line_load_ultimate_N_per_mm | physical_pressure_MPa | virtual_pressure_MPa | physical_piston_thrust_kN | virtual_piston_thrust_kN | physical_full_bore_thrust_kN | virtual_full_bore_thrust_kN,,Internal piston/barrel guide reaction data.,Guide reactions are INTERNAL to the strut assembly unless a source explicitly identifies a guide station as an external airframe attachment.
